Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
118,Kandet Diawara,gn GUI,FW,Le Havre,24-233,2000,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
119,Mahamadou Diawara,fr FRA,MF,Lyon,19-226,2005,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
120,Bamba Dieng,sn SEN,FW,Angers,24-191,2000,2.3,1,4,2,50.0,1.71,0.86,0.25,0.50,20.8,1,0,0,0.6,0.6,0.14,+0.4,+0.4,Matches
121,Sinaly Diomande,ci CIV,DF,Auxerre,23-174,2001,3.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
122,Lois Diony,fr FRA,FW,Angers,31-285,1992,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
123,Sofiane Diop,fr FRA,"FW,MF",Nice,24-113,2000,0.4,1,1,1,100.0,2.65,2.65,1.00,1.00,2.5,0,0,0,0.9,0.9,0.93,+0.1,+0.1,Matches
124,Andy Diouf,fr FRA,MF,Lens,21-136,2003,5.1,0,6,0,0.0,1.17,0.00,0.00,,26.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
125,Yehvann Diouf,fr FRA,GK,Reims,24-319,1999,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
126,Assane Dioussé,sn SEN,MF,Auxerre,27-010,1997,0.1,0,1,1,100.0,15.00,15.00,0.00,0.00,28.9,0,0,0,0.0,0.0,0.00,0.0,0.0,Matches
127,Gianluigi Donnarumma,it ITA,GK,Paris S-G,25-218,1999,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
128,Désiré Doué,fr FRA,FW,Paris S-G,19-119,2005,1.6,0,9,4,44.4,5.51,2.45,0.00,0.00,19.6,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
129,Guela Doué,ci CIV,DF,Strasbourg,21-349,2002,6.0,0,3,1,33.3,0.50,0.17,0.00,0.00,9.1,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
130,Douglas,br BRA,MF,Nantes,27-261,1997,4.6,1,10,3,30.0,2.17,0.65,0.10,0.33,13.7,0,0,0,1.1,1.1,0.11,-0.1,-0.1,Matches
131,Ismaël Doukouré,fr FRA,MF,Strasbourg,21-068,2003,5.5,0,1,0,0.0,0.18,0.00,0.00,,22.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
132,Kamory Doumbia,ml MLI,MF,Brest,21-225,2003,1.3,0,2,1,50.0,1.54,0.77,0.00,0.00,27.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
133,Jean-Kevin Duverne,ht HAI,DF,Nantes,27-080,1997,3.6,0,2,0,0.0,0.55,0.00,0.00,,17.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
134,Stefan Džodić,rs SRB,DF,Montpellier,19-199,2005,1.0,0,1,0,0.0,1.00,0.00,0.00,,31.5,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
135,Aron Dønnum,no NOR,"DF,MF",Toulouse,26-163,1998,4.1,0,1,0,0.0,0.24,0.00,0.00,,30.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
136,Jacques Ekomie,ga GAB,DF,Angers,21-042,2003,2.5,0,1,0,0.0,0.41,0.00,0.00,,15.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
137,Pierre Ekwah Elimby,fr FRA,MF,Saint-Étienne,22-259,2002,3.0,0,1,0,0.0,0.33,0.00,0.00,,24.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
138,Breel Embolo,ch SUI,FW,Monaco,27-229,1997,3.7,0,12,2,16.7,3.25,0.54,0.00,0.00,10.1,0,0,0,2.5,2.5,0.21,-2.5,-2.5,Matches
139,Emanuel Emegha,nl NED,FW,Strasbourg,21-240,2003,5.6,3,15,12,80.0,2.68,2.15,0.20,0.25,13.2,0,0,0,3.8,3.8,0.25,-0.8,-0.8,Matches
140,Romain Faivre,fr FRA,"MF,FW",Brest,26-078,1998,2.9,1,5,1,20.0,1.70,0.34,0.20,1.00,15.1,0,0,0,0.6,0.6,0.12,+0.4,+0.4,Matches
141,Khalil Fayad,fr FRA,"MF,FW",Montpellier,20-113,2004,2.8,0,3,1,33.3,1.06,0.35,0.00,0.00,23.1,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
142,Zinedine Ferhat,dz ALG,"FW,MF",Angers,31-213,1993,1.8,1,5,3,60.0,2.78,1.67,0.20,0.33,20.2,1,0,0,0.3,0.3,0.06,+0.7,+0.7,Matches
143,Edimilson Fernandes,ch SUI,MF,Brest,28-168,1996,1.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
144,Matias Fernandez-Pardo,be BEL,FW,Lille,19-240,2005,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
145,Jordan Ferri,fr FRA,MF,Montpellier,32-202,1992,3.0,0,1,1,100.0,0.33,0.33,0.00,0.00,34.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
146,Karol Fila,pl POL,MF,Strasbourg,26-109,1998,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
147,Malick Fofana,be BEL,"FW,DF",Lyon,19-183,2005,2.1,1,2,2,100.0,0.94,0.94,0.50,0.50,10.6,0,0,0,0.1,0.1,0.07,+0.9,+0.9,Matches
148,Yahia Fofana,ci CIV,GK,Angers,24-040,2000,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
