stat_id,player_id,mp,min,ninety_s,starts,mn_per_start,compl,subs,mn_per_subs,unsub,ppm,on_g,on_ga,plus_minus,plus_minus_per_90,onxg,onxga,xg_plus_minus,xg_plus_minus_per_90
,,4,238,2.6,2,90.0,2,2,29.0,0,2.5,7,3,4,1.51,4.0,3.5,0.5,0.2
,,2,175,1.9,2,88.0,1,0,0.0,0,1.0,1,1,0,0.0,2.7,1.8,1.0,0.49
,,1,4,0.0,0,0.0,0,1,4.0,2,1.0,0,0,0,0.0,0.0,0.5,-0.5,-10.9
,,1,90,1.0,1,90.0,1,0,0.0,3,3.0,3,1,2,2.0,1.6,0.3,1.3,1.3
,,0,0,0.0,0,0.0,0,0,0.0,4,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,6,346,3.8,4,76.0,1,2,22.0,0,0.67,3,4,-1,-0.26,3.6,5.3,-1.6,-0.42
,,2,32,0.4,0,0.0,0,2,16.0,3,1.5,2,0,2,5.63,1.5,0.5,1.0,2.59
,,1,29,0.3,0,0.0,0,1,29.0,3,3.0,2,0,2,6.21,1.7,0.1,1.7,5.13
,,1,87,1.0,1,87.0,0,0,0.0,0,1.0,1,1,0,0.0,0.6,0.8,-0.2,-0.23
,,5,322,3.6,4,72.0,2,1,33.0,0,1.8,8,8,0,0.0,6.7,3.9,2.8,0.78
,,3,70,0.8,1,45.0,0,2,13.0,2,1.33,1,2,-1,-1.29,1.4,1.5,-0.1,-0.14
,,2,37,0.4,0,0.0,0,2,19.0,3,1.5,0,2,-2,-4.86,0.0,1.0,-1.0,-2.45
,,4,360,4.0,4,90.0,4,0,0.0,0,1.0,5,6,-1,-0.25,3.4,5.8,-2.4,-0.6
,,4,182,2.0,2,71.0,0,2,20.0,1,1.0,3,4,-1,-0.49,2.0,4.2,-2.2,-1.1
,,3,242,2.7,3,81.0,1,0,0.0,0,3.0,6,3,3,1.12,6.0,2.3,3.7,1.39
,,2,19,0.2,0,0.0,0,2,10.0,0,2.0,1,0,1,4.74,0.6,0.4,0.2,1.02
,,1,89,1.0,1,89.0,0,0,0.0,2,0.0,0,1,-1,-1.01,0.9,1.0,0.0,-0.05
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,5,334,3.7,4,83.0,3,1,1.0,0,1.4,4,5,-1,-0.27,4.8,4.6,0.3,0.07
,,5,450,5.0,5,90.0,5,0,0.0,0,1.4,8,8,0,0.0,7.9,5.4,2.4,0.48
,,1,78,0.9,1,78.0,0,0,0.0,4,3.0,1,0,1,1.15,1.2,0.1,1.1,1.27
,,2,180,2.0,2,90.0,2,0,0.0,0,1.5,4,5,-1,-0.5,1.2,3.3,-2.1,-1.06
,,3,270,3.0,3,90.0,3,0,0.0,0,1.33,1,3,-2,-0.67,2.3,2.9,-0.6,-0.21
,,5,353,3.9,4,82.0,2,1,25.0,0,1.0,1,4,-3,-0.76,2.6,5.7,-3.1,-0.79
,,5,326,3.6,4,75.0,1,1,25.0,0,1.4,5,7,-2,-0.55,3.2,4.4,-1.2,-0.32
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
