player_name,nation,position,age,date_of_birth
Sergio Herrera,ESP,GK,31.0,1993.0
Yangel Herrera,VEN,MF,26.0,1998.0
Omar El Hilali,MAR,DF,21.0,2003.0
Pablo Ibáñez,ESP,MF,25.0,1998.0
Stanis Idumbo,BEL,FW,19.0,2005.0
Iglesias,ESP,DF,26.0,1998.0
Borja Iglesias,ESP,FW,31.0,1993.0
Kelechi Iheanacho,NGA,FW,27.0,1996.0
Karl Jakob Hein,EST,GK,22.0,2002.0
Mikel Jauregizar,ESP,MF,20.0,2003.0
John Joe,IRL,"FW,MF",20.0,2003.0
Jofre,ESP,MF,23.0,2001.0
Joan Jordán,ESP,"MF,FW",30.0,1994.0
Juanmi,ESP,FW,31.0,1993.0
Vinicius Júnior,BRA,FW,24.0,2000.0
Stanko Jurić,CRO,"MF,DF",28.0,1996.0
Willy Kambwala,FRA,DF,20.0,2004.0
Kenedy,BRA,MF,28.0,1996.0
Kiké,ESP,FW,34.0,1989.0
