Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
28,Tommaso Baldanzi,it ITA,"MF,FW",Roma,21-191,2003,1.7,10,5.92,7,0,1,0,1,1,3,1.78,2,0,0,0,0,1,Matches
29,Botond Balogh,hu HUN,DF,Parma,22-116,2002,4.8,2,0.42,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
30,Lameck Banda,zm ZAM,"FW,MF",Lecce,23-245,2001,2.7,10,3.75,7,0,1,1,1,0,0,0.00,0,0,0,0,0,0,Matches
31,Daniel Bandeira,pt POR,MF,Hellas Verona,24-172,2000,2.5,2,0.79,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
32,Mattia Bani,it ITA,DF,Genoa,30-295,1993,3.5,1,0.29,0,0,0,1,0,0,1,0.29,0,0,0,1,0,0,Matches
33,Antonín Barák,cz CZE,MF,Fiorentina,29-302,1994,0.6,3,5.00,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
34,Federico Barba,it ITA,DF,Como,31-029,1993,2.0,2,1.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
35,Nicolò Barella,it ITA,MF,Inter,27-236,1997,3.5,10,2.88,9,0,0,1,0,0,3,0.87,3,0,0,0,0,0,Matches
36,Davide Bartesaghi,it ITA,DF,Milan,18-276,2005,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
37,Federico Baschirotto,it ITA,DF,Lecce,28-010,1996,6.0,2,0.33,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
38,Daniele Baselli,it ITA,MF,Como,32-202,1992,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
39,Alessandro Bastoni,it ITA,DF,Inter,25-170,1999,4.4,7,1.59,6,1,0,0,0,0,2,0.46,1,1,0,0,0,0,Matches
40,Reda Belahyane,fr FRA,MF,Hellas Verona,20-121,2004,5.8,9,1.56,7,0,1,0,0,1,2,0.35,1,0,0,0,0,1,Matches
