Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
78,Andrea Carboni,it ITA,DF,Monza,23-239,2001,4,4,348,3.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,7,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
79,Franco Carboni,it ITA,DF,Venezia,21-179,2003,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
80,Marco Carnesecchi,it ITA,GK,Atalanta,24-091,2000,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
81,Nicolò Casale,it ITA,DF,Bologna,26-229,1998,3,2,161,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
82,Nicolò Casale,it ITA,DF,Lazio,26-229,1998,2,2,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
83,Federico Cassa,it ITA,"MF,FW",Atalanta,18-242,2006,2,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
84,Valentín Castellanos,ar ARG,FW,Lazio,25-363,1998,5,5,415,4.6,3,0,3,3,0,0,1,0,2.5,2.5,0.4,2.9,8,8,23,0.65,0.00,0.65,0.65,0.65,0.54,0.10,0.63,0.54,0.63,Matches
85,Santiago Castro,ar ARG,FW,Bologna,20-001,2004,6,5,448,5.0,3,1,4,3,0,0,1,0,1.6,1.6,0.4,2.0,2,5,29,0.60,0.20,0.80,0.60,0.80,0.32,0.09,0.41,0.32,0.41,Matches
86,Gaetano Castrovilli,it ITA,MF,Lazio,27-226,1997,3,1,89,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.7,0.7,4,7,4,0.00,0.00,0.00,0.00,0.00,0.02,0.73,0.75,0.02,0.75,Matches
87,Danilo Cataldi,it ITA,MF,Fiorentina,30-055,1994,4,4,293,3.3,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,6,8,2,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07,Matches
