Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
123,Marc Domenech,ESP,FW,Mallorca,18,2006,1.3,0,3,1,33.3,2.35,0.78,0.0,0.0,21.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1
124,Carlos Dominguez,ESP,DF,Celta Vigo,23,2001,3.8,0,2,1,50.0,0.52,0.26,0.0,0.0,8.7,0,0,0,0.1,0.1,0.05,-0.1,-0.1
125,Sergi Dominguez,ESP,DF,Barcelona,19,2005,1.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
126,Anastasios Douvikas,GRE,FW,Celta Vigo,25,1999,3.6,1,8,5,62.5,2.23,1.39,0.13,0.2,12.2,0,0,0,1.2,1.2,0.15,-0.2,-0.2
127,Pablo Durán,ESP,"FW,MF",Celta Vigo,23,2001,1.6,0,2,0,0.0,1.26,0.0,0.0,0.0,11.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1
128,Hugo Duro,ESP,FW,Valencia,24,1999,5.0,2,12,3,25.0,2.39,0.6,0.17,0.67,13.3,0,0,0,1.2,1.2,0.1,0.8,0.8
129,Chidera Ejuke,NGA,"FW,MF",Sevilla,26,1998,4.6,1,10,5,50.0,2.2,1.1,0.1,0.2,18.1,0,0,0,0.7,0.7,0.07,0.3,0.3
130,Aritz Elustondo,ESP,DF,Real Sociedad,30,1994,2.7,0,1,0,0.0,0.37,0.0,0.0,0.0,4.5,0,0,0,0.2,0.2,0.22,-0.2,-0.2
131,Adri Embarba,ESP,"FW,MF",Rayo Vallecano,32,1992,5.3,0,10,2,20.0,1.88,0.38,0.0,0.0,24.2,1,0,0,0.3,0.3,0.03,-0.3,-0.3
132,Endrick,BRA,FW,Real Madrid,18,2006,0.5,1,9,3,33.3,17.61,5.87,0.11,0.33,19.0,0,0,0,0.6,0.6,0.07,0.4,0.4
133,Alfonso Espino,URU,DF,Rayo Vallecano,32,1992,3.4,0,3,1,33.3,0.89,0.3,0.0,0.0,29.2,0,0,0,0.1,0.1,0.02,-0.1,-0.1
134,Dario Essugo,POR,MF,Las Palmas,19,2005,1.6,0,3,1,33.3,1.85,0.62,0.0,0.0,31.3,0,0,0,0.0,0.0,0.02,0.0,0.0
135,Abde Ezzalzouli,MAR,FW,Betis,22,2001,6.2,1,22,9,40.9,3.55,1.45,0.05,0.11,13.6,0,0,1,3.9,3.1,0.14,-2.9,-2.1
136,Peter Federico,DOM,"MF,FW",Getafe,22,2002,1.5,0,2,0,0.0,1.3,0.0,0.0,0.0,15.0,0,0,0,0.2,0.2,0.1,-0.2,-0.2
137,Nabil Fekir,FRA,MF,Betis,31,1993,2.0,0,7,1,14.3,3.5,0.5,0.0,0.0,23.5,0,0,0,0.7,0.7,0.1,-0.7,-0.7
138,Kiko Femenía,ESP,DF,Villarreal,33,1991,7.0,0,1,0,0.0,0.14,0.0,0.0,0.0,26.7,0,0,0,0.0,0.0,0.03,0.0,0.0
