Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Gls_per_90,Ast,Ast_per_90,G+A,G+A_per_90,G-PK,G-PK_per_90,PK,PKatt,CrdY,CrdR,xG,xG_per_90,npxG,npxG_per_90,xAG,xAG_per_90,npxG+xAG,npxG+xAG_per_90,PrgC,PrgP,PrgR,G+A-PK,xG+xAG
100,Diego Conde,ESP,GK,Villarreal,25,1998,7,7,630,7.0,0,0.0,1,0.14,1,0.14,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.2,0.03,0.2,0.03,0,0,0,0.14,0.03
101,Tomás Conechny,ARG,"FW,MF",Alavés,26,1998,5,5,357,4.0,1,0.25,0,0.0,1,0.25,1,0.25,0,0,2,0,1.2,0.31,1.2,0.31,0.1,0.03,1.4,0.34,6,3,23,0.25,0.34
102,Copete,ESP,DF,Mallorca,24,1999,6,2,218,2.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.4,0.15,0.4,0.15,0.0,0.0,0.4,0.15,2,5,1,0.0,0.15
103,Ángel Correa,ARG,"FW,MF",Atlético Madrid,29,1995,8,0,190,2.1,2,0.95,0,0.0,2,0.95,2,0.95,0,0,0,0,2.1,1.0,2.1,1.0,0.2,0.08,2.3,1.09,6,7,19,0.95,1.09
104,Thierry Correia,POR,DF,Valencia,25,1999,8,6,553,6.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.02,0.1,0.02,0.3,0.05,0.4,0.07,13,37,35,0.0,0.07
105,Logan Costa,CPV,DF,Villarreal,23,2001,5,4,376,4.2,1,0.24,0,0.0,1,0.24,1,0.24,0,0,0,0,0.3,0.06,0.3,0.06,0.0,0.0,0.3,0.06,0,11,0,0.24,0.06
106,Samu Costa,POR,MF,Mallorca,23,2000,8,8,717,8.0,0,0.0,1,0.13,1,0.13,0,0.0,0,0,2,0,0.8,0.1,0.8,0.1,0.2,0.03,1.0,0.13,5,37,17,0.13,0.13
107,Thibaut Courtois,BEL,GK,Real Madrid,32,1992,8,8,720,8.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
108,Juan Cruz Armada,ESP,DF,Osasuna,32,1992,4,2,206,2.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.02,4,8,5,0.0,0.02
109,Juan Cruz,ESP,"FW,MF",Leganés,24,2000,8,5,433,4.8,3,0.62,0,0.0,3,0.62,3,0.62,0,0,1,0,0.9,0.19,0.9,0.19,0.3,0.06,1.2,0.25,12,18,26,0.62,0.25
