Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive_sca,PassDead_sca,TO_sca,Sh_sca,Fld_sca,Def_sca,GCA,GCA90,PassLive_gca,PassDead_gca,TO_gca,Sh_gca,Fld_gca,Def_gca
171,Nemanja Gudelj,SRB,"MF,DF",Sevilla,32,1991,5.0,4,0.8,3,1,0,0,0,0,0,0.0,0,0,0,0,0,0
172,Javier Guerra,ESP,"MF,FW",Valencia,21,2003,4.6,9,1.94,7,0,1,0,1,0,0,0.0,0,0,0,0,0,0
173,Ander Guevara,ESP,MF,Alavés,27,1997,4.4,9,2.06,8,0,1,0,0,0,2,0.46,2,0,0,0,0,0
174,Pape Gueye,SEN,MF,Villarreal,25,1999,3.4,7,2.05,6,0,0,0,0,1,2,0.59,2,0,0,0,0,0
175,Hugo Guillamón,ESP,MF,Valencia,24,2000,3.4,4,1.17,4,0,0,0,0,0,1,0.29,1,0,0,0,0,0
176,Arda Güler,TUR,"MF,FW",Real Madrid,19,2005,2.7,18,6.78,12,2,1,3,0,0,3,1.13,0,1,0,2,0,0
177,Gerard Gumbau,ESP,MF,Rayo Vallecano,29,1994,2.0,5,2.5,4,0,1,0,0,0,1,0.5,1,0,0,0,0,0
178,Jon Guridi,ESP,MF,Alavés,29,1995,4.2,11,2.61,9,0,1,1,0,0,4,0.95,3,0,1,0,0,0
179,Gorka Guruzeta,ESP,FW,Athletic Club,28,1996,5.0,5,1.01,3,0,0,2,0,0,1,0.2,1,0,0,0,0,0
180,Miguel Gutiérrez,ESP,DF,Girona,23,2001,7.0,16,2.29,15,1,0,0,0,0,1,0.14,1,0,0,0,0,0
181,Munir El Haddadi,MAR,"MF,FW",Leganés,29,1995,1.7,2,1.21,1,0,0,0,1,0,0,0.0,0,0,0,0,0,0
182,Sébastien Haller,CIV,FW,Leganés,30,1994,2.9,3,1.04,2,0,1,0,0,0,0,0.0,0,0,0,0,0,0
183,Javi Hernández,ESP,DF,Leganés,26,1998,5.7,9,1.57,9,0,0,0,0,0,1,0.17,1,0,0,0,0,0
184,Jorge Herrando,ESP,DF,Osasuna,23,2001,4.1,1,0.25,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
185,Ander Herrera,ESP,MF,Athletic Club,35,1989,1.5,6,3.91,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0
186,Sergio Herrera,ESP,GK,Osasuna,31,1993,8.0,1,0.12,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
187,Yangel Herrera,VEN,MF,Girona,26,1998,5.1,14,2.75,10,0,0,1,2,1,1,0.2,1,0,0,0,0,0
188,Juan Herzog,ESP,DF,Las Palmas,21,2003,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
189,Omar El Hilali,MAR,DF,Espanyol,21,2003,8.0,5,0.63,4,0,1,0,0,0,0,0.0,0,0,0,0,0,0
190,Pablo Ibáñez,ESP,MF,Osasuna,26,1998,2.3,3,1.32,3,0,0,0,0,0,1,0.44,1,0,0,0,0,0
191,Stanis Idumbo,BEL,FW,Sevilla,19,2005,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
192,Iglesias,ESP,DF,Getafe,26,1998,7.2,18,2.49,9,6,3,0,0,0,1,0.14,0,1,0,0,0,0
193,Borja Iglesias,ESP,FW,Celta Vigo,31,1993,4.4,4,0.91,3,0,0,0,1,0,1,0.23,0,0,0,0,1,0
194,Kelechi Iheanacho,NGA,FW,Sevilla,27,1996,3.0,9,2.99,6,0,0,3,0,0,0,0.0,0,0,0,0,0,0
195,Karl Jakob Hein,EST,GK,Valladolid,22,2002,8.0,1,0.12,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
196,Adnan Januzaj,BEL,"MF,FW",Las Palmas,29,1995,0.3,1,3.6,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0
197,Mikel Jauregizar,ESP,MF,Athletic Club,20,2003,3.9,11,2.79,6,3,0,2,0,0,2,0.51,2,0,0,0,0,0
198,John Joe,IRL,"FW,MF",Getafe,20,2003,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
199,Jofre,ESP,MF,Espanyol,23,2001,5.2,12,2.32,6,0,2,2,2,0,2,0.39,1,0,0,0,1,0
200,Joan Jordán,ESP,MF,Alavés,30,1994,2.3,10,4.39,7,2,0,0,1,0,2,0.88,1,1,0,0,0,0
201,Juanmi,ESP,FW,Betis,31,1993,1.6,2,1.26,1,0,1,0,0,0,0,0.0,0,0,0,0,0,0
202,Juanpe,ESP,DF,Girona,33,1991,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
203,Abdulai Juma Bah,SLE,DF,Valladolid,18,2006,1.9,2,1.08,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
204,Vinicius Júnior,BRA,FW,Real Madrid,24,2000,7.2,40,5.56,26,0,5,4,4,1,8,1.11,4,0,2,0,2,0
205,Stanko Jurić,CRO,MF,Valladolid,28,1996,5.6,4,0.71,3,0,0,0,0,1,0,0.0,0,0,0,0,0,0
206,Willy Kambwala,FRA,DF,Villarreal,20,2004,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
207,Abdoulaye Keita,ESP,MF,Getafe,22,2002,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
208,Kenedy,BRA,MF,Valladolid,28,1996,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
209,Kiké,ESP,FW,Alavés,34,1989,4.3,9,2.08,8,0,0,0,1,0,2,0.46,2,0,0,0,0,0
