Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
156,Paulo Gazzaniga,ARG,GK,Girona,32,1992,8.0,1,0,0,1,0,0,0,0,1,0,0,0,8,0,0,0.0
157,Bryan Gil,ESP,"FW,MF",Girona,23,2001,5.4,1,0,0,7,9,2,19,3,9,0,0,0,19,0,2,0.0
158,Dani Gómez,ESP,FW,Valencia,26,1998,3.4,0,0,0,3,4,8,0,2,1,0,0,0,5,3,8,27.3
159,Moi Gómez,ESP,"MF,FW",Osasuna,30,1994,3.3,0,0,0,3,2,0,9,5,3,0,0,1,20,3,3,50.0
160,Sergi Gómez,ESP,DF,Espanyol,32,1992,3.0,0,0,0,1,1,0,0,4,1,0,0,0,7,4,9,30.8
161,Sergio Gómez,ESP,"MF,FW",Real Sociedad,24,2000,6.6,0,0,0,6,5,1,50,5,9,0,1,0,32,5,8,38.5
162,Unai Gómez,ESP,"MF,FW",Athletic Club,21,2003,2.7,1,0,0,3,6,0,8,0,0,0,0,0,4,7,9,43.8
163,Fabio González,ESP,MF,Las Palmas,27,1997,0.5,0,0,0,1,0,0,1,0,0,0,0,0,3,1,0,100.0
164,Urko González,ESP,MF,Real Sociedad,23,2001,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0.0
165,Andoni Gorosabel,ESP,DF,Athletic Club,28,1996,2.0,1,0,0,4,0,0,6,0,0,0,0,0,7,2,5,28.6
166,José Gragera,ESP,MF,Espanyol,23,2000,4.8,0,0,0,17,6,0,0,4,10,0,0,0,11,6,3,66.7
167,Dominik Greif,SVK,GK,Mallorca,27,1997,5.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.0
168,Antoine Griezmann,FRA,"FW,MF",Atlético Madrid,33,1991,6.5,0,0,0,1,5,3,40,3,3,0,0,0,12,1,4,20.0
169,Vicente Guaita,ESP,GK,Celta Vigo,37,1987,4.0,0,0,0,0,3,0,0,0,0,0,0,0,8,1,0,100.0
170,Sergi Guardiola,ESP,FW,Rayo Vallecano,33,1991,0.1,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0.0
171,Nemanja Gudelj,SRB,"MF,DF",Sevilla,32,1991,5.0,1,0,0,3,2,0,1,7,5,0,0,0,10,8,11,42.1
172,Javier Guerra,ESP,"MF,FW",Valencia,21,2003,4.6,1,0,0,5,3,0,6,0,5,0,0,0,21,2,4,33.3
