Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
144,Matias Fernandez-Pardo,BEL,FW,Lille,19,2005.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
145,Jordan Ferri,FRA,MF,Montpellier,32,1992.0,3.0,2,0,0,4,5,0,3,1,6,0,0,0,27,1,0,100.0
146,Karol Fila,POL,MF,Strasbourg,26,1998.0,0.1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
147,Malick Fofana,BEL,"FW,DF",Lyon,19,2005.0,2.1,0,0,0,1,3,0,11,1,3,1,0,0,10,0,2,0.0
148,Yahia Fofana,CIV,GK,Angers,24,2000.0,6.0,1,0,0,0,1,0,0,0,0,0,0,0,10,2,0,100.0
149,Lamine Fomba,FRA,MF,Saint-Étienne,26,1998.0,0.8,1,0,0,6,0,0,0,2,1,0,1,0,4,2,4,33.3
150,Przemysław Frankowski,POL,DF,Lens,29,1995.0,3.2,1,0,0,4,1,1,16,0,6,0,0,0,11,3,0,100.0
151,Angelo Fulgini,FRA,"MF,FW",Lens,28,1996.0,1.9,0,0,0,1,6,1,8,0,3,0,0,0,11,1,3,25.0
152,Ignatius Ganago,CMR,FW,Nantes,25,1999.0,0.3,0,0,0,0,1,2,0,0,1,0,0,0,1,3,0,100.0
153,Ulisses Garcia,SUI,"DF,MF",Marseille,28,1996.0,0.5,0,0,0,0,1,0,4,0,1,0,0,0,0,3,2,60.0
154,Jean-Philippe Gbamin,CIV,MF,Nantes,29,1995.0,0.2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,100.0
155,Yann Gboho,FRA,"FW,MF",Toulouse,23,2001.0,5.8,0,0,0,1,19,0,10,0,3,1,0,0,23,2,6,25.0
156,Denis Genreau,AUS,MF,Toulouse,25,1999.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
157,Aleksandr Golovin,RUS,MF,Monaco,28,1996.0,2.8,0,0,0,4,10,0,7,2,4,0,0,0,21,3,3,50.0
158,André Gomes,POR,MF,Lille,31,1993.0,1.7,0,0,0,6,2,0,0,1,3,0,0,0,21,0,2,0.0
159,Angel Gomes,ENG,MF,Lille,24,2000.0,3.2,0,0,0,1,5,0,2,0,2,1,0,0,7,3,2,60.0
160,Carlos Gómez,COL,MF,Rennes,22,2002.0,0.3,0,0,0,1,1,0,1,0,0,0,0,0,2,0,1,0.0
161,Amine Gouiri,ALG,"FW,MF",Rennes,24,2000.0,4.3,0,0,0,8,5,2,5,0,0,0,0,0,14,2,4,33.3
162,Jonathan Gradit,FRA,DF,Lens,31,1992.0,5.8,1,0,0,10,5,0,4,8,6,0,0,0,26,26,10,72.2
163,Samuel Grandsir,FRA,"MF,FW",Le Havre,28,1996.0,0.5,0,0,0,1,0,0,0,0,3,0,0,0,2,0,1,0.0
164,Mason Greenwood,ENG,FW,Marseille,22,2001.0,5.9,0,0,0,2,12,0,8,1,3,1,0,0,21,3,1,75.0
165,Albert Grønbaek,DEN,"MF,FW",Rennes,23,2001.0,4.4,0,0,0,4,2,0,11,3,5,0,0,0,13,1,6,14.3
