Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl_tackles,TklW_tackles,Def 3rd_tackles,Mid 3rd_tackles,Att 3rd_tackles,Tkl_challenges,Att_challenges,Tkl%_challenges,Lost_challenges,Blocks_blocks,Sh_blocks,Pass_blocks,Int,Tkl+Int,Clr,Err
170,Magnus Knudsen,NOR,MF,Holstein Kiel,23,2001.0,4.7,13,5,6,3,4,7,13,53.8,6,4,2,2,5,18,10,0
171,Gregor Kobel,SUI,GK,Dortmund,26,1997.0,5.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,1
172,Robin Koch,GER,DF,Eint Frankfurt,28,1996.0,5.0,1,1,1,0,0,0,2,0.0,2,13,7,6,2,3,31,1
173,Derrick Köhn,GER,DF,Werder Bremen,25,1999.0,1.6,1,1,0,0,1,0,0,0.0,0,1,1,0,2,3,5,0
174,Dominik Kohr,GER,"DF,MF",Mainz 05,30,1994.0,4.8,16,11,11,2,3,10,13,76.9,3,13,7,6,4,20,26,0
175,Marco Komenda,CRO,DF,Holstein Kiel,27,1996.0,1.0,2,1,1,1,0,2,2,100.0,0,1,0,1,0,2,6,0
176,Mert Kömür,GER,MF,Augsburg,19,2005.0,0.3,0,0,0,0,0,0,0,0.0,0,1,1,0,0,0,0,1
177,Henri Koudossou,GER,DF,Augsburg,25,1999.0,0.3,1,1,0,1,0,1,3,33.3,2,1,1,0,0,1,2,0
178,Konstantinos Koulierakis,GRE,DF,Wolfsburg,20,2003.0,1.6,2,0,1,1,0,0,2,0.0,2,4,3,1,1,3,10,0
179,Matej Kovar,CZE,GK,Leverkusen,24,2000.0,1.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
180,Andrej Kramarić,CRO,MF,Hoffenheim,33,1991.0,3.9,0,0,0,0,0,0,1,0.0,1,3,1,2,0,0,1,0
181,Frans Krätzig,GER,DF,Stuttgart,21,2003.0,0.6,2,1,1,0,1,1,3,33.3,2,2,1,1,0,2,1,0
182,Rasmus Kristensen,DEN,"DF,MF",Eint Frankfurt,27,1997.0,5.0,11,6,7,2,2,7,15,46.7,8,6,3,3,3,14,15,0
183,Lukas Kübler,GER,DF,Freiburg,32,1992.0,4.5,9,6,6,2,1,5,7,71.4,2,8,3,5,13,22,9,1
